ID: 53 , Time: 11:10PM Sep20 2015 , score: 576 , Depth: 4 , Access: True , Code: 200 , Size 113KB , url: http://en.wikipedia.org/wiki/Engineering_ethics
ID: 54 , Time: 11:10PM Sep20 2015 , score: 572 , Depth: 3 , Access: True , Code: 200 , Size 104KB , url: http://en.wikipedia.org/wiki/Ecological_engineering
ID: 55 , Time: 11:10PM Sep20 2015 , score: 568 , Depth: 1 , Access: True , Code: 200 , Size 170KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b87520b7/Python
ID: 56 , Time: 11:10PM Sep20 2015 , score: 564 , Depth: 3 , Access: True , Code: 200 , Size 111KB , url: http://en.wikipedia.org/wiki/Fire_protection_engineering
ID: 57 , Time: 11:10PM Sep20 2015 , score: 564 , Depth: 3 , Access: True , Code: 200 , Size 97KB , url: http://en.wikipedia.org/wiki/Architectural_engineering
ID: 58 , Time: 11:10PM Sep20 2015 , score: 560 , Depth: 1 , Access: True , Code: 200 , Size 169KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d10ad3da/Late-Career
ID: 59 , Time: 11:10PM Sep20 2015 , score: 552 , Depth: 1 , Access: True , Code: 200 , Size 178KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/a5e48575/San-Francisco-CA
ID: 60 , Time: 11:10PM Sep20 2015 , score: 548 , Depth: 1 , Access: False , Code: 200 , Size 44KB , url: http://en.wikipedia.org/w/index.php?title=Software_engineering&action=edit&section=4
ID: 61 , Time: 11:10PM Sep20 2015 , score: 524 , Depth: 1 , Access: True , Code: 200 , Size 176KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/81bde469/Seattle-WA
ID: 62 , Time: 11:10PM Sep20 2015 , score: 512 , Depth: 1 , Access: True , Code: 200 , Size 177KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/df029197/New-York-NY
ID: 63 , Time: 11:10PM Sep20 2015 , score: 508 , Depth: 3 , Access: True , Code: 200 , Size 152KB , url: http://en.wikipedia.org/wiki/Environmental_engineering
ID: 64 , Time: 11:10PM Sep20 2015 , score: 500 , Depth: 2 , Access: True , Code: 200 , Size 144KB , url: http://en.wikipedia.org/wiki/Requirements_analysis
ID: 65 , Time: 11:10PM Sep20 2015 , score: 500 , Depth: 3 , Access: True , Code: 200 , Size 106KB , url: http://en.wikipedia.org/wiki/Control_engineering
ID: 66 , Time: 11:10PM Sep20 2015 , score: 496 , Depth: 1 , Access: True , Code: 200 , Size 169KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/382ce583/Microsoft-SQL-Server
ID: 67 , Time: 11:10PM Sep20 2015 , score: 496 , Depth: 3 , Access: True , Code: 200 , Size 254KB , url: http://en.wikipedia.org/wiki/Earthquake_engineering
ID: 68 , Time: 11:10PM Sep20 2015 , score: 488 , Depth: 1 , Access: True , Code: 200 , Size 167KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/abbd780a/ASP.NET
ID: 69 , Time: 11:10PM Sep20 2015 , score: 488 , Depth: 1 , Access: True , Code: 200 , Size 176KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/982d650a/San-Jose-CA
ID: 70 , Time: 11:10PM Sep20 2015 , score: 488 , Depth: 1 , Access: True , Code: 200 , Size 50KB , url: http://en.wikipedia.org/wiki/Software_engineering_demographics
ID: 71 , Time: 11:10PM Sep20 2015 , score: 484 , Depth: 3 , Access: True , Code: 200 , Size 86KB , url: http://en.wikipedia.org/wiki/Transport_engineering
ID: 72 , Time: 11:10PM Sep20 2015 , score: 484 , Depth: 3 , Access: True , Code: 200 , Size 118KB , url: http://en.wikipedia.org/wiki/Automotive_engineering
ID: 73 , Time: 11:10PM Sep20 2015 , score: 480 , Depth: 1 , Access: True , Code: 200 , Size 166KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/ea93a246/PHP
ID: 74 , Time: 11:10PM Sep20 2015 , score: 480 , Depth: 1 , Access: True , Code: 200 , Size 175KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/e0f62494/San-Diego-CA
ID: 75 , Time: 11:10PM Sep20 2015 , score: 472 , Depth: 1 , Access: True , Code: 200 , Size 166KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6eca1ee4/Chicago-IL
ID: 76 , Time: 11:10PM Sep20 2015 , score: 472 , Depth: 3 , Access: True , Code: 200 , Size 85KB , url: http://en.wikipedia.org/wiki/Transportation_engineering
ID: 77 , Time: 11:10PM Sep20 2015 , score: 472 , Depth: 3 , Access: True , Code: 200 , Size 122KB , url: http://en.wikipedia.org/wiki/Hydraulic_engineering
ID: 78 , Time: 11:10PM Sep20 2015 , score: 472 , Depth: 2 , Access: True , Code: 200 , Size 79KB , url: http://en.wikipedia.org/wiki/Application_software
ID: 79 , Time: 11:10PM Sep20 2015 , score: 464 , Depth: 1 , Access: True , Code: 200 , Size 171KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/17d2ade4/Austin-TX
ID: 80 , Time: 11:10PM Sep20 2015 , score: 456 , Depth: 1 , Access: True , Code: 200 , Size 171KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/dc5b9b42/Boston-MA
ID: 81 , Time: 11:10PM Sep20 2015 , score: 456 , Depth: 1 , Access: True , Code: 200 , Size 172KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1fa00410/Los-Angeles-CA
ID: 82 , Time: 11:10PM Sep20 2015 , score: 456 , Depth: 2 , Access: True , Code: 200 , Size 112KB , url: http://en.wikipedia.org/wiki/Software_prototyping
ID: 83 , Time: 11:10PM Sep20 2015 , score: 456 , Depth: 2 , Access: True , Code: 200 , Size 80KB , url: http://en.wikipedia.org/wiki/Software_project_management
ID: 84 , Time: 11:10PM Sep20 2015 , score: 452 , Depth: 3 , Access: True , Code: 200 , Size 111KB , url: http://en.wikipedia.org/wiki/Mining_engineering
ID: 85 , Time: 11:11PM Sep20 2015 , score: 448 , Depth: 1 , Access: True , Code: 200 , Size 174KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/bac11311/Sunnyvale-CA
ID: 86 , Time: 11:11PM Sep20 2015 , score: 448 , Depth: 1 , Access: True , Code: 200 , Size 167KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/88337c0d/Minneapolis-MN
ID: 87 , Time: 11:11PM Sep20 2015 , score: 448 , Depth: 1 , Access: True , Code: 200 , Size 165KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/52d09d74/Atlanta-GA
ID: 88 , Time: 11:11PM Sep20 2015 , score: 444 , Depth: 3 , Access: True , Code: 200 , Size 231KB , url: http://en.wikipedia.org/wiki/Materials_engineering
ID: 89 , Time: 11:11PM Sep20 2015 , score: 440 , Depth: 1 , Access: True , Code: 200 , Size 119KB , url: http://en.wikipedia.org/wiki/Requirements_engineering
ID: 90 , Time: 11:11PM Sep20 2015 , score: 436 , Depth: 2 , Access: True , Code: 200 , Size 230KB , url: http://en.wikipedia.org/wiki/Materials_science
ID: 91 , Time: 11:11PM Sep20 2015 , score: 436 , Depth: 3 , Access: True , Code: 200 , Size 78KB , url: http://en.wikipedia.org/wiki/Construction_engineering
ID: 92 , Time: 11:11PM Sep20 2015 , score: 432 , Depth: 1 , Access: True , Code: 200 , Size 172KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/c352dc35/Cisco-Systems-Inc
ID: 93 , Time: 11:11PM Sep20 2015 , score: 432 , Depth: 1 , Access: True , Code: 200 , Size 65KB , url: http://en.wikipedia.org/wiki/Barry_Boehm
ID: 94 , Time: 11:11PM Sep20 2015 , score: 424 , Depth: 1 , Access: True , Code: 200 , Size 171KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/8118d2e5/Mountain-View-CA
ID: 95 , Time: 11:11PM Sep20 2015 , score: 424 , Depth: 1 , Access: True , Code: 200 , Size 169KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/69c39864/Denver-CO
ID: 96 , Time: 11:11PM Sep20 2015 , score: 424 , Depth: 1 , Access: True , Code: 200 , Size 162KB , url: http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1dfb2f6b/Washington-DC
ID: 97 , Time: 11:11PM Sep20 2015 , score: 420 , Depth: 1 , Access: True , Code: 200 , Size 78KB , url: http://en.wikipedia.org/wiki/ISO/IEC_JTC_1/SC_7
ID: 98 , Time: 11:11PM Sep20 2015 , score: 420 , Depth: 3 , Access: True , Code: 200 , Size 135KB , url: http://en.wikipedia.org/wiki/Acoustical_engineering
ID: 99 , Time: 11:11PM Sep20 2015 , score: 412 , Depth: 4 , Access: True , Code: 200 , Size 122KB , url: http://en.wikipedia.org/wiki/Safety_engineering
ID: 100 , Time: 11:11PM Sep20 2015 , score: 412 , Depth: 4 , Access: True , Code: 200 , Size 71KB , url: http://en.wikipedia.org/wiki/Engineer_in_training
ID: 101 , Time: 11:11PM Sep20 2015 , score: 408 , Depth: 1 , Access: True , Code: 200 , Size 91KB , url: http://en.wikipedia.org/wiki/Software_configuration_management
ID: 102 , Time: 11:11PM Sep20 2015 , score: 408 , Depth: 1 , Access: True , Code: 200 , Size 49KB , url: http://en.wikipedia.org/wiki/SWEBOK
ID: 103 , Time: 11:11PM Sep20 2015 , score: 400 , Depth: 1 , Access: True , Code: 200 , Size 49KB , url: http://en.wikipedia.org/wiki/Software_Engineering_Body_of_Knowledge
