ID: 52 , Time: 10:19PM Sep20 2015 , score: 348 , Depth: 2 , Access: True , Code: 200 , Size 671KB , url: http://en.wikipedia.org/wiki/Ecology
ID: 53 , Time: 10:19PM Sep20 2015 , score: 348 , Depth: 6 , Access: True , Code: 200 , Size 119KB , url: http://en.wikipedia.org/wiki/Altair_8800
ID: 54 , Time: 10:19PM Sep20 2015 , score: 340 , Depth: 3 , Access: True , Code: 200 , Size 158KB , url: http://en.wikipedia.org/wiki/Distributed_computation
ID: 55 , Time: 10:19PM Sep20 2015 , score: 340 , Depth: 1 , Access: True , Code: 200 , Size 81KB , url: http://en.wikipedia.org/wiki/Computer_graphics_(computer_science)
ID: 56 , Time: 10:19PM Sep20 2015 , score: 328 , Depth: 2 , Access: True , Code: 200 , Size 71KB , url: http://en.wikipedia.org/wiki/Formal_science
ID: 57 , Time: 10:19PM Sep20 2015 , score: 320 , Depth: 4 , Access: True , Code: 200 , Size 218KB , url: http://en.wikipedia.org/wiki/Microprocessor
ID: 58 , Time: 10:19PM Sep20 2015 , score: 320 , Depth: 2 , Access: True , Code: 200 , Size 255KB , url: http://en.wikipedia.org/wiki/Mathematics
ID: 59 , Time: 10:19PM Sep20 2015 , score: 320 , Depth: 5 , Access: True , Code: 200 , Size 146KB , url: http://en.wikipedia.org/wiki/Computer_storage
ID: 60 , Time: 10:19PM Sep20 2015 , score: 320 , Depth: 1 , Access: True , Code: 200 , Size 355KB , url: http://en.wikipedia.org/wiki/Charles_Babbage
ID: 61 , Time: 10:19PM Sep20 2015 , score: 316 , Depth: 2 , Access: True , Code: 200 , Size 228KB , url: http://en.wikipedia.org/wiki/Mouse_(computing)
ID: 62 , Time: 10:19PM Sep20 2015 , score: 312 , Depth: 3 , Access: True , Code: 200 , Size 330KB , url: http://en.wikipedia.org/wiki/Tablet_computer
ID: 63 , Time: 10:19PM Sep20 2015 , score: 308 , Depth: 4 , Access: True , Code: 200 , Size 285KB , url: http://en.wikipedia.org/wiki/History_of_artificial_intelligence
ID: 64 , Time: 10:19PM Sep20 2015 , score: 308 , Depth: 3 , Access: True , Code: 200 , Size 674KB , url: http://en.wikipedia.org/wiki/Apple_Inc.
ID: 65 , Time: 10:19PM Sep20 2015 , score: 308 , Depth: 1 , Access: False , Code: 200 , Size 42KB , url: http://en.wikipedia.org/w/index.php?title=Computer_science&action=edit&section=1
ID: 66 , Time: 10:19PM Sep20 2015 , score: 300 , Depth: 3 , Access: True , Code: 200 , Size 314KB , url: http://en.wikipedia.org/wiki/Vannevar_Bush
ID: 67 , Time: 10:19PM Sep20 2015 , score: 300 , Depth: 1 , Access: True , Code: 200 , Size 145KB , url: http://en.wikipedia.org/wiki/Computer_programming
ID: 68 , Time: 10:19PM Sep20 2015 , score: 296 , Depth: 2 , Access: True , Code: 200 , Size 93KB , url: http://en.wikipedia.org/wiki/Space_science
ID: 69 , Time: 10:19PM Sep20 2015 , score: 292 , Depth: 2 , Access: True , Code: 200 , Size 196KB , url: http://en.wikipedia.org/wiki/Information_technology
ID: 70 , Time: 10:19PM Sep20 2015 , score: 292 , Depth: 2 , Access: True , Code: 200 , Size 196KB , url: http://en.wikipedia.org/wiki/Information_Technology
ID: 71 , Time: 10:19PM Sep20 2015 , score: 288 , Depth: 4 , Access: True , Code: 200 , Size 220KB , url: http://en.wikipedia.org/wiki/Timeline_of_computing_hardware_2400_BC%E2%80%931949
ID: 72 , Time: 10:19PM Sep20 2015 , score: 288 , Depth: 3 , Access: True , Code: 200 , Size 319KB , url: http://en.wikipedia.org/wiki/Technologies
ID: 73 , Time: 10:19PM Sep20 2015 , score: 280 , Depth: 3 , Access: True , Code: 200 , Size 101KB , url: http://en.wikipedia.org/wiki/Symbolic_computation
ID: 74 , Time: 10:19PM Sep20 2015 , score: 280 , Depth: 2 , Access: True , Code: 200 , Size 132KB , url: http://en.wikipedia.org/wiki/Behavioral_neuroscience
ID: 75 , Time: 10:19PM Sep20 2015 , score: 280 , Depth: 2 , Access: True , Code: 200 , Size 441KB , url: http://en.wikipedia.org/wiki/Astrobiology
ID: 76 , Time: 10:19PM Sep20 2015 , score: 276 , Depth: 3 , Access: True , Code: 200 , Size 266KB , url: http://en.wikipedia.org/wiki/Algorithms
ID: 77 , Time: 10:20PM Sep20 2015 , score: 276 , Depth: 1 , Access: True , Code: 200 , Size 266KB , url: http://en.wikipedia.org/wiki/Algorithm
ID: 78 , Time: 10:20PM Sep20 2015 , score: 272 , Depth: 6 , Access: True , Code: 200 , Size 137KB , url: http://en.wikipedia.org/wiki/BASIC
ID: 79 , Time: 10:20PM Sep20 2015 , score: 268 , Depth: 3 , Access: True , Code: 200 , Size 302KB , url: http://en.wikipedia.org/wiki/Electrical_engineering
ID: 80 , Time: 10:20PM Sep20 2015 , score: 268 , Depth: 1 , Access: True , Code: 200 , Size 257KB , url: http://en.wikipedia.org/wiki/Ada_Lovelace
ID: 81 , Time: 10:20PM Sep20 2015 , score: 264 , Depth: 5 , Access: True , Code: 200 , Size 359KB , url: http://en.wikipedia.org/wiki/Hewlett-Packard
ID: 82 , Time: 10:20PM Sep20 2015 , score: 260 , Depth: 3 , Access: True , Code: 200 , Size 181KB , url: http://en.wikipedia.org/wiki/Central_processing_units
ID: 83 , Time: 10:20PM Sep20 2015 , score: 260 , Depth: 2 , Access: True , Code: 200 , Size 180KB , url: http://en.wikipedia.org/wiki/Central_processing_unit
ID: 84 , Time: 10:20PM Sep20 2015 , score: 256 , Depth: 6 , Access: True , Code: 200 , Size 148KB , url: http://en.wikipedia.org/wiki/User_interface
ID: 85 , Time: 10:20PM Sep20 2015 , score: 256 , Depth: 1 , Access: True , Code: 200 , Size 228KB , url: http://en.wikipedia.org/wiki/Programming_language
ID: 86 , Time: 10:20PM Sep20 2015 , score: 256 , Depth: 2 , Access: True , Code: 200 , Size 149KB , url: http://en.wikipedia.org/wiki/Human-machine_interface
ID: 87 , Time: 10:20PM Sep20 2015 , score: 256 , Depth: 1 , Access: True , Code: 200 , Size 91KB , url: http://en.wikipedia.org/wiki/Cambridge_Computer_Lab
ID: 88 , Time: 10:20PM Sep20 2015 , score: 256 , Depth: 2 , Access: False , Code: 200 , Size 39KB , url: http://en.wikipedia.org/w/index.php?title=Computing&action=edit&section=3
